scorevideo	LOG
File:	logXCB10_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	F:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB10	Yellow	082117	1-116730
Play	duration	(min):	64.850
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
79947	44:24.90	yellow	lateral	display	(right)	either
80067	44:28.90	attack	yellow	(right)	either
80103	44:30.10	yellow	lateral	display	(right)	either
80293	44:36.43	yellow	lateral	display	(right)	either
80305	44:36.83	attack	yellow	(right)	either
80355	44:38.50	attack	yellow	(right)	either
80435	44:41.17	yellow	lateral	display	(right)	either
80515	44:43.83	attack	female	either
80597	44:46.57	attack	female	either
80917	44:57.23	yellow	lateral	display	(right)	either
81059	45:01.97	attack	yellow	(right)	either
81091	45:03.03	yellow	lateral	display	(right)	either
81175	45:05.83	attack	yellow	(right)	either
81231	45:07.70	attack	yellow	(right)	either
81309	45:10.30	yellow	lateral	display	(right)	either
81357	45:11.90	attack	yellow	(right)	either
81397	45:13.23	attack	yellow	(right)	either
81487	45:16.23	attack	yellow	(right)	either
81497	45:16.57	yellow	lateral	display	(right)	either
81581	45:19.37	quiver	at	female	either
81721	45:24.03	blue	lateral	display	(left)	either
81953	45:31.77	blue	lateral	display	(left)	either
82099	45:36.63	blue	lateral	display	(left)	either
82225	45:40.83	blue	lateral	display	(left)	either
82315	45:43.83	attack	blue	(left)	either
82407	45:46.90	attack	blue	(left)	either
82481	45:49.37	blue	lateral	display	(left)	either
82653	45:55.10	blue	lateral	display	(left)	either
82665	45:55.50	attack	blue	(left)	either
82713	45:57.10	blue	lateral	display	(left)	either
82795	45:59.83	attack	blue	(left)	either
82821	46:00.70	blue	lateral	display	(left)	either
82963	46:05.43	blue	lateral	display	(left)	either
83241	46:14.70	attack	blue	(left)	either
83301	46:16.70	blue	lateral	display	(left)	either
83501	46:23.37	attack	blue	(left)	either
83567	46:25.57	blue	lateral	display	(left)	either
83649	46:28.30	attack	blue	(left)	either
83733	46:31.10	attack	female	either
83811	46:33.70	chase	female	either
83851	46:35.03	attack	blue	(left)	either
83893	46:36.43	blue	lateral	display	(left)	either
83971	46:39.03	attack	blue	(left)	either
84313	46:50.43	blue	lateral	display	(left)	either
84403	46:53.43	lead	swim	either
84579	46:59.30	blue	lateral	display	(left)	either
85041	47:14.70	attack	blue	(left)	either
85221	47:20.70	attack	blue	(left)	either
85221	47:20.70	attack	blue	(left)	either
85783	47:39.43	blue	lateral	display	(left)	either
86173	47:52.43	blue	lateral	display	(left)	either
86343	47:58.10	attack	yellow	(right)	either
86407	48:00.23	yellow	lateral	display	(right)	either
86887	48:16.23	yellow	lateral	display	(right)	either
86939	48:17.97	chase	female	either
87011	48:20.37	quiver	at	female	either
87179	48:25.97	yellow	lateral	display	(right)	either
87295	48:29.83	attack	yellow	(right)	either
87409	48:33.63	yellow	lateral	display	(right)	either
87455	48:35.17	attack	female	either
87673	48:42.43	yellow	lateral	display	(right)	either
87797	48:46.57	attack	yellow	(right)	either
87841	48:48.03	yellow	lateral	display	(right)	either
87989	48:52.97	attack	yellow	(right)	either
88135	48:57.83	yellow	lateral	display	(right)	either
88225	49:00.83	attack	yellow	(right)	either
88303	49:03.43	attack	yellow	(right)	either
88381	49:06.03	yellow	lateral	display	(right)	either
88537	49:11.23	blue	lateral	display	(left)	either
88597	49:13.23	attack	female	either
88753	49:18.43	blue	lateral	display	(left)	either
88973	49:25.77	yellow	lateral	display	(right)	either
89061	49:28.70	attack	yellow	(right)	either
89107	49:30.23	attack	yellow	(right)	either
89149	49:31.63	yellow	lateral	display	(right)	either
89471	49:42.37	blue	lateral	display	(left)	either
89615	49:47.17	attack	blue	(left)	either
89701	49:50.03	blue	lateral	display	(left)	either
89869	49:55.63	attack	blue	(left)	either
89895	49:56.50	blue	lateral	display	(left)	either
90209	50:06.97	attack	female	either
90275	50:09.17	attack	female	either
90333	50:11.10	blue	lateral	display	(left)	either
90467	50:15.57	blue	lateral	display	(left)	either
90545	50:18.17	attack	female	either
90623	50:20.77	chase	female	either
90673	50:22.43	blue	lateral	display	(left)	either
91099	50:36.63	blue	lateral	display	(left)	either
91271	50:42.37	blue	lateral	display	(left)	either
91371	50:45.70	blue	lateral	display	(left)	either
91543	50:51.43	attack	female	either
91597	50:53.23	attack	female	either
91707	50:56.90	blue	lateral	display	(left)	either
91843	51:01.43	blue	lateral	display	(left)	either
92049	51:08.30	attack	yellow	(right)	either
92125	51:10.83	yellow	lateral	display	(right)	either
