scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
100997	56:06.57	A
101057	56:08.57	s
101091	56:09.70	A
101137	56:11.23	Q
101221	56:14.03	s
101523	56:24.10	Q
102469	56:55.63	s
102575	56:59.17	s
102699	57:03.30	C
102823	57:07.43	s
102893	57:09.77	C
102997	57:13.23	s
103097	57:16.57	s
103171	57:19.03	Q
103209	57:20.30	s
103315	57:23.83	s
104001	57:46.70	A
104843	58:14.77	Q
104949	58:18.30	Q
105319	58:30.63	A
105401	58:33.37	s
105527	58:37.57	Q
105557	58:38.57	s
105913	58:50.43	d
106021	58:54.03	s
106173	58:59.10	A
106671	59:15.70	d
107121	59:30.70	s
107197	59:33.23	Q
107367	59:38.90	s
107473	59:42.43	e
107599	59:46.63	x
107727	59:50.90	C
107969	59:58.97	d
------------------------------------------

FULL	LOG
------------------------------------------
frame	time(min:sec)	description	action	subject
------------------------------------------
54133	30:04.43	quiver	at	male	either
54475	30:15.83	blue	lateral	display	(left)	either
54567	30:18.90	attack	blue	(left)	either
54589	30:19.63	blue	lateral	display	(left)	either
54735	30:24.50	blue	lateral	display	(left)	either
54845	30:28.17	blue	lateral	display	(left)	either
54919	30:30.63	attack	blue	(left)	either
54967	30:32.23	blue	lateral	display	(left)	either
55237	30:41.23	quiver	at	female	either
55253	30:41.77	attack	female	either
55403	30:46.77	lead	swim	either
55469	30:48.97	chase	female	either
55521	30:50.70	attack	female	either
55643	30:54.77	blue	lateral	display	(left)	either
56711	31:30.37	lead	swim	either
56757	31:31.90	attack	female	either
57517	31:57.23	attack	female	either
58759	32:38.63	attack	female	either
58805	32:40.17	attack	yellow	(right)	either
59097	32:49.90	lead	swim	either
59749	33:11.63	attack	yellow	(right)	either
59841	33:14.70	chase	female	either
60051	33:21.70	chase	female	either
60125	33:24.17	lead	swim	either
60321	33:30.70	chase	female	either
60417	33:33.90	attack	yellow	(right)	either
60931	33:51.03	blue	lateral	display	(left)	either
61045	33:54.83	attack	blue	(left)	either
61085	33:56.17	blue	lateral	display	(left)	either
61357	34:05.23	attack	blue	(left)	either
61383	34:06.10	blue	lateral	display	(left)	either
61561	34:12.03	quiver	at	female	either
61851	34:21.70	chase	female	either
61923	34:24.10	quiver	at	female	either
62067	34:28.90	attack	female	either
62085	34:29.50	attack	female	either
62119	34:30.63	quiver	at	female	either
62213	34:33.77	blue	lateral	display	(left)	either
62287	34:36.23	pot	entry	either
62453	34:41.77	pot	exit	either
62533	34:44.43	quiver	at	female	either
62725	34:50.83	blue	lateral	display	(left)	either
62803	34:53.43	blue	lateral	display	(left)	either
62873	34:55.77	attack	female	either
62921	34:57.37	attack	female	either
62971	34:59.03	attack	blue	(left)	either
63033	35:01.10	blue	lateral	display	(left)	either
63085	35:02.83	attack	blue	(left)	either
63111	35:03.70	blue	lateral	display	(left)	either
63169	35:05.63	attack	blue	(left)	either
63189	35:06.30	blue	lateral	display	(left)	either
63357	35:11.90	attack	female	either
63391	35:13.03	quiver	at	female	either
63733	35:24.43	quiver	at	female	either
63765	35:25.50	attack	female	either
64055	35:35.17	blue	lateral	display	(left)	either
64301	35:43.37	pot	entry	either
64395	35:46.50	pot	exit	either
64505	35:50.17	quiver	at	female	either
64569	35:52.30	lead	swim	either
64665	35:55.50	blue	lateral	display	(left)	either
64759	35:58.63	blue	lateral	display	(left)	either
64931	36:04.37	lead	swim	either
65319	36:17.30	attack	blue	(left)	either
65357	36:18.57	blue	lateral	display	(left)	either
65461	36:22.03	blue	lateral	display	(left)	either
65591	36:26.37	blue	lateral	display	(left)	either
65843	36:34.77	blue	lateral	display	(left)	either
65917	36:37.23	blue	lateral	display	(left)	either
65947	36:38.23	attack	blue	(left)	either
65979	36:39.30	blue	lateral	display	(left)	either
66359	36:51.97	attack	yellow	(right)	either
66437	36:54.57	blue	lateral	display	(left)	either
66531	36:57.70	attack	blue	(left)	either
66585	36:59.50	blue	lateral	display	(left)	either
66657	37:01.90	attack	female	either
66739	37:04.63	attack	female	either
66795	37:06.50	attack	female	either
66901	37:10.03	attack	female	either
67039	37:14.63	quiver	at	female	either
67315	37:23.83	attack	blue	(left)	either
67337	37:24.57	blue	lateral	display	(left)	either
