scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
99449	55:15.0	b						
99525	55:17.5	b						
99665	55:22.2	Q						
99697	55:23.2	s						
99793	55:26.4	b						
99915	55:30.5	s						
99957	55:31.9	b						
100055	55:35.2	s						
100149	55:38.3	b						
100213	55:40.4	b						
100235	55:41.2	b						
100287	55:42.9	d						
100441	55:48.0	d						
100579	55:52.6	d						
100655	55:55.2	b						
100715	55:57.2	d						
100799	56:00.0	d						
101483	56:22.8	d						
101641	56:28.0	A						
101671	56:29.0	C						
102133	56:44.4	d						
102335	56:51.2	d						
102441	56:54.7	b						
102491	56:56.4	d						
102531	56:57.7	b						
102637	57:01.2	b						
102721	57:04.0	d						
102857	57:08.6	b						
103001	57:13.4	d						
103215	57:20.5	b						
103475	57:29.2	d						
103647	57:34.9	b						
103765	57:38.8	b						
103873	57:42.4	b						
103907	57:43.6	d						
104041	57:48.0	d						
104097	57:49.9	b						
104289	57:56.3	b						
104317	57:57.2	b						
104415	58:00.5	b						
104619	58:07.3	b						
104729	58:11.0	s						
104769	58:12.3	b						
104971	58:19.0	s						
105021	58:20.7	Q						
105407	58:33.6	d						
105469	58:35.6	b						
105751	58:45.0	b						
105833	58:47.8	d						
105871	58:49.0	s						
105977	58:52.6	s						
106133	58:57.8	s						
106241	59:01.4	d						
106671	59:15.7	Q						
106755	59:18.5	Q						
106771	59:19.0	e						
106809	59:20.3	Q						
106897	59:23.2	x						
106923	59:24.1	b						
106953	59:25.1	d						
107005	59:26.8	b						
107095	59:29.8	b						
107121	59:30.7	b						
107233	59:34.4	b						
107341	59:38.0	b						
107371	59:39.0	d						
107471	59:42.4	b						
107621	59:47.4	b						
107675	59:49.2	b						
107695	59:49.8	d						
107769	59:52.3	b						
107947	59:58.2	b						
------------------------------------------								
								
FULL	LOG							
------------------------------------------								
frame	time(min:sec)	description	action	subject				
------------------------------------------								
54009	30:00.3	attack	blue	(left)	either			
54051	30:01.7	attack	blue	(left)	either			
54087	30:02.9	attack	blue	(left)	either			
54249	30:08.3	blue	lateral	display	(left)	either		
54341	30:11.4	quiver	at	female	either			
54441	30:14.7	flee	from	male	either			
54575	30:19.2	blue	lateral	display	(left)	either		
54619	30:20.6	attack	female	either				
54777	30:25.9	blue	lateral	display	(left)	either		
54845	30:28.2	lead	swim	either				
54951	30:31.7	lead	swim	either				
55019	30:34.0	lead	swim	either				
55055	30:35.2	quiver	at	female	either			
55195	30:39.8	attack	blue	(left)	either			
55495	30:49.8	blue	lateral	display	(left)	either		
55577	30:52.6	attack	female	either				
55631	30:54.4	quiver	at	female	either			
55729	30:57.6	quiver	at	female	either			
55769	30:59.0	attack	blue	(left)	either			
55907	31:03.6	lead	swim	either				
56105	31:10.2	chase	female	either				
56573	31:25.8	quiver	at	female	either			
56613	31:27.1	quiver	at	female	either			
56711	31:30.4	quiver	at	female	either			
56759	31:32.0	lead	swim	either				
56925	31:37.5	attack	blue	(left)	either			
56953	31:38.4	attack	blue	(left)	either			
56999	31:40.0	blue	lateral	display	(left)	either		
57111	31:43.7	attack	blue	(left)	either			
57177	31:45.9	blue	lateral	display	(left)	either		
57339	31:51.3	attack	blue	(left)	either			
57427	31:54.2	attack	female	either				
57607	32:00.2	quiver	at	female	either			
57663	32:02.1	lead	swim	either				
