scorevideo	LOG
File:	logXCB15_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB15	Blue	082417	1-126360
Play	duration	(min):	70.200
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
78813	43:47.10	attack	blue	(left)	either
78895	43:49.83	blue	lateral	display	(left)	either
79073	43:55.77	attack	blue	(left)	either
79115	43:57.17	blue	lateral	display	(left)	either
79213	44:00.43	blue	lateral	display	(left)	either
79313	44:03.77	blue	lateral	display	(left)	either
79417	44:07.23	attack	blue	(left)	either
79447	44:08.23	blue	lateral	display	(left)	either
79565	44:12.17	blue	lateral	display	(left)	either
79757	44:18.57	yellow	lateral	display	(right)	either
80297	44:36.57	blue	lateral	display	(left)	either
80441	44:41.37	blue	lateral	display	(left)	either
80575	44:45.83	blue	lateral	display	(left)	either
80719	44:50.63	blue	lateral	display	(left)	either
80849	44:54.97	attack	blue	(left)	either
80939	44:57.97	blue	lateral	display	(left)	either
81185	45:06.17	blue	lateral	display	(left)	either
81375	45:12.50	blue	lateral	display	(left)	either
81713	45:23.77	blue	lateral	display	(left)	either
83859	46:35.30	attack	female	either
88265	49:02.17	blue	lateral	display	(left)	either
88359	49:05.30	blue	lateral	display	(left)	either
88565	49:12.17	pot	entry	either
88727	49:17.57	pot	exit	either
88873	49:22.43	blue	lateral	display	(left)	either
88987	49:26.23	blue	lateral	display	(left)	either
89071	49:29.03	blue	lateral	display	(left)	either
89195	49:33.17	blue	lateral	display	(left)	either
89345	49:38.17	blue	lateral	display	(left)	either
89445	49:41.50	attack	blue	(left)	either
89475	49:42.50	blue	lateral	display	(left)	either
89573	49:45.77	blue	lateral	display	(left)	either
89723	49:50.77	blue	lateral	display	(left)	either
89923	49:57.43	blue	lateral	display	(left)	either
89993	49:59.77	blue	lateral	display	(left)	either
90035	50:01.17	attack	blue	(left)	either
90065	50:02.17	blue	lateral	display	(left)	either
90125	50:04.17	attack	blue	(left)	either
90161	50:05.37	attack	blue	(left)	either
90189	50:06.30	blue	lateral	display	(left)	either
90231	50:07.70	attack	blue	(left)	either
90287	50:09.57	blue	lateral	display	(left)	either
90361	50:12.03	blue	lateral	display	(left)	either
90499	50:16.63	blue	lateral	display	(left)	either
90605	50:20.17	attack	blue	(left)	either
90627	50:20.90	blue	lateral	display	(left)	either
90713	50:23.77	attack	blue	(left)	either
90749	50:24.97	blue	lateral	display	(left)	either
90829	50:27.63	attack	blue	(left)	either
90859	50:28.63	blue	lateral	display	(left)	either
90963	50:32.10	attack	blue	(left)	either
91091	50:36.37	attack	blue	(left)	either
91139	50:37.97	blue	lateral	display	(left)	either
91281	50:42.70	blue	lateral	display	(left)	either
91379	50:45.97	blue	lateral	display	(left)	either
91521	50:50.70	blue	lateral	display	(left)	either
91693	50:56.43	attack	blue	(left)	either
91759	50:58.63	blue	lateral	display	(left)	either
91849	51:01.63	attack	blue	(left)	either
91913	51:03.77	blue	lateral	display	(left)	either
92009	51:06.97	attack	blue	(left)	either
92033	51:07.77	blue	lateral	display	(left)	either
92161	51:12.03	blue	lateral	display	(left)	either
92277	51:15.90	blue	lateral	display	(left)	either
92373	51:19.10	attack	blue	(left)	either
92449	51:21.63	blue	lateral	display	(left)	either
92503	51:23.43	blue	lateral	display	(left)	either
92575	51:25.83	blue	lateral	display	(left)	either
92789	51:32.97	blue	lateral	display	(left)	either
92939	51:37.97	blue	lateral	display	(left)	either
93081	51:42.70	blue	lateral	display	(left)	either
93161	51:45.37	blue	lateral	display	(left)	either
93593	51:59.77	blue	lateral	display	(left)	either
93717	52:03.90	blue	lateral	display	(left)	either
93861	52:08.70	blue	lateral	display	(left)	either
93907	52:10.23	blue	lateral	display	(left)	either
94057	52:15.23	blue	lateral	display	(left)	either
94131	52:17.70	attack	blue	(left)	either
94209	52:20.30	blue	lateral	display	(left)	either
94369	52:25.63	blue	lateral	display	(left)	either
94423	52:27.43	attack	blue	(left)	either
95215	52:53.83	blue	lateral	display	(left)	either
96147	53:24.90	pot	entry	either
96237	53:27.90	pot	exit	either
96279	53:29.30	blue	lateral	display	(left)	either
96403	53:33.43	blue	lateral	display	(left)	either
96471	53:35.70	blue	lateral	display	(left)	either
96627	53:40.90	blue	lateral	display	(left)	either
96737	53:44.57	blue	lateral	display	(left)	either
96893	53:49.77	attack	blue	(left)	either
96955	53:51.83	blue	lateral	display	(left)	either
97293	54:03.10	blue	lateral	display	(left)	either
97391	54:06.37	attack	blue	(left)	either
97495	54:09.83	attack	blue	(left)	either
97533	54:11.10	blue	lateral	display	(left)	either
97651	54:15.03	attack	blue	(left)	either
97727	54:17.57	blue	lateral	display	(left)	either
97807	54:20.23	blue	lateral	display	(left)	either
97895	54:23.17	attack	blue	(left)	either
97951	54:25.03	blue	lateral	display	(left)	either
98065	54:28.83	attack	blue	(left)	either
98089	54:29.63	blue	lateral	display	(left)	either
98159	54:31.97	attack	blue	(left)	either
98275	54:35.83	blue	lateral	display	(left)	either
98339	54:37.97	attack	blue	(left)	either
98363	54:38.77	blue	lateral	display	(left)	either
98449	54:41.63	blue	lateral	display	(left)	either
98545	54:44.83	attack	blue	(left)	either
98625	54:47.50	blue	lateral	display	(left)	either
98721	54:50.70	chase	female	either
98949	54:58.30	blue	lateral	display	(left)	either
99115	55:03.83	yellow	lateral	display	(right)	either
99175	55:05.83	attack	yellow	(right)	either
99291	55:09.70	yellow	lateral	display	(right)	either
99425	55:14.17	yellow	lateral	display	(right)	either
99555	55:18.50	yellow	lateral	display	(right)	either
100215	55:40.50	blue	lateral	display	(left)	either
100325	55:44.17	blue	lateral	display	(left)	either
100473	55:49.10	attack	blue	(left)	either
100501	55:50.03	blue	lateral	display	(left)	either
100575	55:52.50	attack	blue	(left)	either
100639	55:54.63	blue	lateral	display	(left)	either
100711	55:57.03	attack	blue	(left)	either
100769	55:58.97	blue	lateral	display	(left)	either
100885	56:02.83	blue	lateral	display	(left)	either
101021	56:07.37	blue	lateral	display	(left)	either
101065	56:08.83	attack	blue	(left)	either
101129	56:10.97	blue	lateral	display	(left)	either
101215	56:13.83	attack	blue	(left)	either
101285	56:16.17	blue	lateral	display	(left)	either
101357	56:18.57	attack	blue	(left)	either
101439	56:21.30	attack	blue	(left)	either
101465	56:22.17	blue	lateral	display	(left)	either
101569	56:25.63	attack	blue	(left)	either
101691	56:29.70	blue	lateral	display	(left)	either
101749	56:31.63	attack	blue	(left)	either
101857	56:35.23	blue	lateral	display	(left)	either
101957	56:38.57	attack	blue	(left)	either
102017	56:40.57	attack	female	either
102161	56:45.37	blue	lateral	display	(left)	either
102373	56:52.43	blue	lateral	display	(left)	either
102591	56:59.70	blue	lateral	display	(left)	either
102825	57:07.50	blue	lateral	display	(left)	either
102909	57:10.30	attack	blue	(left)	either
102991	57:13.03	blue	lateral	display	(left)	either
103193	57:19.77	blue	lateral	display	(left)	either
103515	57:30.50	blue	lateral	display	(left)	either
104005	57:46.83	blue	lateral	display	(left)	either
104373	57:59.10	blue	lateral	display	(left)	either
104533	58:04.43	blue	lateral	display	(left)	either
104663	58:08.77	attack	female	either
104877	58:15.90	attack	female	either
107303	59:36.77	blue	lateral	display	(left)	either
107397	59:39.90	blue	lateral	display	(left)	either
107473	59:42.43	blue	lateral	display	(left)	either
107599	59:46.63	blue	lateral	display	(left)	either
107781	59:52.70	blue	lateral	display	(left)	either
------------------------------------------

NOTES
------------------------------------------
------------------------------------------

MARKS
------------------------------------------
frame	time(min:sec)	mark	name
------------------------------------------
	1	0:00.03	video	start
126360	70:12.00	video	end
------------------------------------------
